gene_id	gene_symbol	composite_score	evidence_count	quality_flag	exclusion_reason
ENSG00000189064	GAGE2A	0.1999393950269832	4	sufficient_evidence	composite score < 0.2
ENSG00000231738	TSPAN19	0.19987976357417736	5	sufficient_evidence	composite score < 0.2
ENSG00000188305	PEAK3	0.1997847305782896	6	sufficient_evidence	composite score < 0.2
ENSG00000162771	GARIN4	0.1997307075978479	6	sufficient_evidence	composite score < 0.2
ENSG00000283567	C19orf85	0.19967242753850098	4	sufficient_evidence	composite score < 0.2
ENSG00000205208	C4orf46	0.1996445542750079	6	sufficient_evidence	composite score < 0.2
ENSG00000100249	C22orf31	0.19948353316214532	6	sufficient_evidence	composite score < 0.2
ENSG00000176256	HMGB4	0.19945704985331192	5	sufficient_evidence	composite score < 0.2
ENSG00000261341	SMIM47	0.19941748452618324	3	moderate_evidence	composite score < 0.2
ENSG00000197245	FAM110D	0.19926432067603217	5	sufficient_evidence	composite score < 0.2
ENSG00000184471	C1QTNF8	0.19915542757592414	5	sufficient_evidence	composite score < 0.2
ENSG00000188897	APOLTP	0.19914199921442535	4	sufficient_evidence	composite score < 0.2
ENSG00000262664	OVCA2	0.19909544875019386	6	sufficient_evidence	composite score < 0.2
ENSG00000283227	SPRR5	0.19894175412075954	4	sufficient_evidence	composite score < 0.2
ENSG00000233917	POTEB	0.1989227720555393	4	sufficient_evidence	composite score < 0.2
ENSG00000181903	OR4C6	0.19881030087688797	4	sufficient_evidence	composite score < 0.2
ENSG00000284638	SMIM44	0.19871544163538107	3	moderate_evidence	composite score < 0.2
ENSG00000237524	TEX51	0.19866410227135534	4	sufficient_evidence	composite score < 0.2
ENSG00000284643	SCYGR2	0.1986565422656967	4	sufficient_evidence	composite score < 0.2
ENSG00000188408	MAGEB5	0.19860014077738966	4	sufficient_evidence	composite score < 0.2
ENSG00000232030	MAGEB6B	0.19860014077738966	4	sufficient_evidence	composite score < 0.2
ENSG00000164112	SMIM43	0.1985187789632853	4	sufficient_evidence	composite score < 0.2
ENSG00000284725	SCYGR6	0.1984986088536404	4	sufficient_evidence	composite score < 0.2
ENSG00000176555	OR4S1	0.1983391028559196	4	sufficient_evidence	composite score < 0.2
ENSG00000285231	OOSP3	0.1983191024677202	3	moderate_evidence	composite score < 0.2
ENSG00000283594	FAM236C	0.19823923414519137	3	moderate_evidence	composite score < 0.2
ENSG00000204025	TRPC5OS	0.1980465756835718	4	sufficient_evidence	composite score < 0.2
ENSG00000176281	OR4K5	0.19802497084194073	4	sufficient_evidence	composite score < 0.2
ENSG00000279514	OR4C16	0.1978679048349513	4	sufficient_evidence	composite score < 0.2
ENSG00000185829	ARL17A	0.19758094351832683	5	sufficient_evidence	composite score < 0.2
ENSG00000284635	SCYGR8	0.19757733061664523	4	sufficient_evidence	composite score < 0.2
ENSG00000224712	NPIPA3	0.19756900089726867	5	sufficient_evidence	composite score < 0.2
ENSG00000181433	SAGE1	0.19752465899784125	5	sufficient_evidence	composite score < 0.2
ENSG00000176571	CNBD1	0.197513632226448	5	sufficient_evidence	composite score < 0.2
ENSG00000196171	OR6K2	0.19741232949737414	4	sufficient_evidence	composite score < 0.2
ENSG00000233041	PHGR1	0.19734930881404952	6	sufficient_evidence	composite score < 0.2
ENSG00000196553	CCDC196	0.1971993039721219	4	sufficient_evidence	composite score < 0.2
ENSG00000178257	PRM3	0.19695037956950986	5	sufficient_evidence	composite score < 0.2
ENSG00000173237	C11orf86	0.19676494522532992	5	sufficient_evidence	composite score < 0.2
