gene_symbol	n_ensembl_ids	retained_gene_id	selection_reason	all_ensembl_ids
GPX5	2	ENSG00000224586	MANE Select canonical	ENSG00000224586; ENSG00000257770
GPX6	2	ENSG00000198704	MANE Select canonical	ENSG00000198704; ENSG00000281185
GREM1	3	ENSG00000166923	MANE Select canonical	ENSG00000166923; ENSG00000276886; ENSG00000282046
GRIPAP1	2	ENSG00000068400	MANE Select canonical	ENSG00000068400; ENSG00000292219
GRK1	3	ENSG00000185974	MANE Select canonical	ENSG00000185974; ENSG00000281988; ENSG00000288263
GSDMC	2	ENSG00000147697	MANE Select canonical	ENSG00000147697; ENSG00000285114
GSDMD	2	ENSG00000104518	MANE Select canonical	ENSG00000104518; ENSG00000278718
GSTT2	2	ENSG00000277897	MANE Select canonical	ENSG00000099984; ENSG00000277897
GSTT2B	2	ENSG00000133433	MANE Select canonical	ENSG00000133433; ENSG00000278695
GSTT4	2	ENSG00000276950	MANE Select canonical	ENSG00000276950; ENSG00000281748
GTF2H1	2	ENSG00000110768	MANE Select canonical	ENSG00000110768; ENSG00000288114
GTF2H2	3	ENSG00000145736	MANE Select canonical	ENSG00000145736; ENSG00000275045; ENSG00000276910
GTF2H4	6	ENSG00000213780	MANE Select canonical	ENSG00000213780; ENSG00000221974; ENSG00000226384; ENSG00000233149; ENSG00000234370; ENSG00000236895
GTPBP6	2	ENSG00000178605	MANE Select canonical	ENSG00000178605; ENSG00000292358
H2AC25	2	ENSG00000181218	MANE Select canonical	ENSG00000181218; ENSG00000284841
H2BC26	2	ENSG00000196890	MANE Select canonical	ENSG00000196890; ENSG00000285449
H3-4	2	ENSG00000168148	MANE Select canonical	ENSG00000168148; ENSG00000285435
HAPLN2	2	ENSG00000132702	MANE Select canonical	ENSG00000132702; ENSG00000291756
HAT1	2	ENSG00000128708	MANE Select canonical	ENSG00000128708; ENSG00000292096
HBP1	2	ENSG00000105856	MANE Select canonical	ENSG00000105856; ENSG00000283847
HCN3	2	ENSG00000143630	MANE Select canonical	ENSG00000143630; ENSG00000263324
HEATR9	2	ENSG00000270379	MANE Select canonical	ENSG00000270379; ENSG00000276986
HERC2	3	ENSG00000128731	MANE Select canonical	ENSG00000128731; ENSG00000276802; ENSG00000277278
HERC3	2	ENSG00000138641	MANE Select canonical	ENSG00000138641; ENSG00000287542
