gene_symbol	n_ensembl_ids	retained_gene_id	selection_reason	all_ensembl_ids
KRTAP1-1	2	ENSG00000188581	MANE Select canonical	ENSG00000188581; ENSG00000262808
KRTAP1-3	2	ENSG00000221880	MANE Select canonical	ENSG00000221880; ENSG00000262347
KRTAP1-4	2	ENSG00000204887	MANE Select canonical	ENSG00000204887; ENSG00000263242
KRTAP1-5	2	ENSG00000221852	MANE Select canonical	ENSG00000221852; ENSG00000261862
KRTAP16-1	3	ENSG00000212657	MANE Select canonical	ENSG00000212657; ENSG00000263186; ENSG00000292043
KRTAP17-1	3	ENSG00000186860	MANE Select canonical	ENSG00000186860; ENSG00000263341; ENSG00000292024
KRTAP2-1	2	ENSG00000212725	MANE Select canonical	ENSG00000212725; ENSG00000261852
KRTAP2-2	3	ENSG00000214518	MANE Select canonical	ENSG00000214518; ENSG00000262731; ENSG00000292054
KRTAP2-3	3	ENSG00000212724	MANE Select canonical	ENSG00000212724; ENSG00000262862; ENSG00000292034
KRTAP2-4	3	ENSG00000213417	MANE Select canonical	ENSG00000213417; ENSG00000263091; ENSG00000292035
KRTAP29-1	4	ENSG00000212658	MANE Select canonical	ENSG00000212658; ENSG00000262218; ENSG00000262542; ENSG00000292050
KRTAP3-1	2	ENSG00000212901	MANE Select canonical	ENSG00000212901; ENSG00000262068
KRTAP3-2	2	ENSG00000212900	MANE Select canonical	ENSG00000212900; ENSG00000263296
KRTAP3-3	2	ENSG00000212899	MANE Select canonical	ENSG00000212899; ENSG00000263101
KRTAP4-11	3	ENSG00000212721	MANE Select canonical	ENSG00000212721; ENSG00000263229; ENSG00000292038
KRTAP4-12	3	ENSG00000213416	MANE Select canonical	ENSG00000213416; ENSG00000263236; ENSG00000292039
KRTAP4-16	3	ENSG00000241241	MANE Select canonical	ENSG00000241241; ENSG00000262520; ENSG00000292055
KRTAP4-2	2	ENSG00000244537	MANE Select canonical	ENSG00000244537; ENSG00000292044
KRTAP4-4	2	ENSG00000171396	MANE Select canonical	ENSG00000171396; ENSG00000292041
KRTAP4-5	2	ENSG00000198271	MANE Select canonical	ENSG00000198271; ENSG00000292040
KRTAP4-6	2	ENSG00000198090	MANE Select canonical	ENSG00000198090; ENSG00000292051
KRTAP4-7	2	ENSG00000240871	MANE Select canonical	ENSG00000240871; ENSG00000292053
KRTAP4-8	3	ENSG00000204880	MANE Select canonical	ENSG00000204880; ENSG00000261968; ENSG00000292042
KRTAP4-9	3	ENSG00000212722	MANE Select canonical	ENSG00000212722; ENSG00000262121; ENSG00000292052
KRTAP5-1	4	ENSG00000205869	MANE Select canonical	ENSG00000205869; ENSG00000278210; ENSG00000280585; ENSG00000291433
KRTAP5-2	4	ENSG00000205867	MANE Select canonical	ENSG00000205867; ENSG00000278489; ENSG00000281533; ENSG00000291434
KRTAP5-3	4	ENSG00000196224	MANE Select canonical	ENSG00000196224; ENSG00000275920; ENSG00000281191; ENSG00000291435
KRTAP5-4	4	ENSG00000241598	MANE Select canonical	ENSG00000241598; ENSG00000277068; ENSG00000278620; ENSG00000291440
KRTAP5-5	4	ENSG00000185940	MANE Select canonical	ENSG00000185940; ENSG00000277291; ENSG00000278302; ENSG00000291443
KRTAP5-6	2	ENSG00000205864	MANE Select canonical	ENSG00000205864; ENSG00000277389
KRTAP9-2	3	ENSG00000239886	MANE Select canonical	ENSG00000239886; ENSG00000262573; ENSG00000263090
KRTAP9-3	3	ENSG00000204873	MANE Select canonical	ENSG00000204873; ENSG00000262749; ENSG00000292047
KRTAP9-4	4	ENSG00000241595	MANE Select canonical	ENSG00000241595; ENSG00000262512; ENSG00000262896; ENSG00000292049
KRTAP9-6	3	ENSG00000212659	MANE Select canonical	ENSG00000212659; ENSG00000263263; ENSG00000267635
KRTAP9-7	3	ENSG00000180386	MANE Select canonical	ENSG00000180386; ENSG00000262221; ENSG00000267635
KRTAP9-8	2	ENSG00000187272	MANE Select canonical	ENSG00000187272; ENSG00000292048
KRTAP9-9	3	ENSG00000198083	MANE Select canonical	ENSG00000198083; ENSG00000262594; ENSG00000267728
KYAT1	2	ENSG00000171097	MANE Select canonical	ENSG00000171097; ENSG00000286112
LAIR1	5	ENSG00000167613	MANE Select canonical	ENSG00000167613; ENSG00000274110; ENSG00000276053; ENSG00000276163; ENSG00000278154
LAIR2	4	ENSG00000167618	MANE Select canonical	ENSG00000167618; ENSG00000274084; ENSG00000275819; ENSG00000277335
LDHA	2	ENSG00000134333	MANE Select canonical	ENSG00000134333; ENSG00000288299
LENG1	10	ENSG00000105617	MANE Select canonical	ENSG00000105617; ENSG00000275935; ENSG00000276628; ENSG00000276774; ENSG00000276959; ENSG00000277457; ENSG00000277808; ENSG00000278257; ENSG00000278426; ENSG00000278516
LENG8	4	ENSG00000167615	MANE Select canonical	ENSG00000167615; ENSG00000274305; ENSG00000276458; ENSG00000276681
LENG9	4	ENSG00000275183	MANE Select canonical	ENSG00000273574; ENSG00000274495; ENSG00000275183; ENSG00000278312
LEUTX	2	ENSG00000213921	MANE Select canonical	ENSG00000213921; ENSG00000280774
LGALS4	2	ENSG00000171747	MANE Select canonical	ENSG00000171747; ENSG00000282992
LGALS7	2	ENSG00000205076	MANE Select canonical	ENSG00000205076; ENSG00000283082
LGALS7B	2	ENSG00000178934	MANE Select canonical	ENSG00000178934; ENSG00000282902
LGALS9C	2	ENSG00000171916	MANE Select canonical	ENSG00000171916; ENSG00000284021
LHX1	2	ENSG00000273706	MANE Select canonical	ENSG00000273706; ENSG00000274577
LIAT1	2	ENSG00000187624	MANE Select canonical	ENSG00000187624; ENSG00000283985
LILRA1	4	ENSG00000104974	MANE Select canonical	ENSG00000104974; ENSG00000274935; ENSG00000275525; ENSG00000277398
LILRA2	4	ENSG00000239998	MANE Select canonical	ENSG00000239998; ENSG00000274000; ENSG00000275290; ENSG00000278634
LILRA3	4	ENSG00000276175	MANE Select canonical	ENSG00000273884; ENSG00000275841; ENSG00000276175; ENSG00000278046
LILRA4	4	ENSG00000239961	MANE Select canonical	ENSG00000239961; ENSG00000274185; ENSG00000276798; ENSG00000277092
LILRA5	5	ENSG00000187116	MANE Select canonical	ENSG00000187116; ENSG00000274113; ENSG00000274914; ENSG00000275404; ENSG00000278355
LILRA6	5	ENSG00000244482	MANE Select canonical	ENSG00000244482; ENSG00000274148; ENSG00000275539; ENSG00000275584; ENSG00000277177
LILRB1	5	ENSG00000104972	MANE Select canonical	ENSG00000104972; ENSG00000274669; ENSG00000276452; ENSG00000277134; ENSG00000277807
LILRB2	5	ENSG00000131042	MANE Select canonical	ENSG00000131042; ENSG00000274513; ENSG00000275463; ENSG00000276146; ENSG00000277751
LILRB3	4	ENSG00000204577	MANE Select canonical	ENSG00000204577; ENSG00000274587; ENSG00000275019; ENSG00000277816
LILRB4	5	ENSG00000186818	MANE Select canonical	ENSG00000186818; ENSG00000275730; ENSG00000276042; ENSG00000278279; ENSG00000278555
LILRB5	5	ENSG00000105609	MANE Select canonical	ENSG00000105609; ENSG00000273991; ENSG00000274311; ENSG00000277414; ENSG00000278437
LINC02210-CRHR1	2	ENSG00000263715	gnomAD-recognized or lowest Ensembl ID	ENSG00000263715; ENSG00000282456
LMNTD2	2	ENSG00000185522	MANE Select canonical	ENSG00000185522; ENSG00000275873
LOC102724737	3	ENSG00000280463	gnomAD-recognized or lowest Ensembl ID	ENSG00000280463; ENSG00000281087; ENSG00000288164
LOC102725023	3	ENSG00000278086	MANE Select canonical	ENSG00000275500; ENSG00000278086; ENSG00000288381
LOC107987423	2	ENSG00000228695	gnomAD-recognized or lowest Ensembl ID	ENSG00000228695; ENSG00000281948
LOC107987545	2	ENSG00000284827	gnomAD-recognized or lowest Ensembl ID	ENSG00000284827; ENSG00000285408
LOC124900571	2	ENSG00000276387	gnomAD-recognized or lowest Ensembl ID	ENSG00000275921; ENSG00000276387
LOC124901872	2	ENSG00000286726	gnomAD-recognized or lowest Ensembl ID	ENSG00000286726; ENSG00000287747
LOC124905564	2	ENSG00000271254	gnomAD-recognized or lowest Ensembl ID	ENSG00000271254; ENSG00000292228
LOC124907012	2	ENSG00000303867	gnomAD-recognized or lowest Ensembl ID	ENSG00000303867; ENSG00000304745
LOC124907096	2			ENSG00000288184; ENSG00000288249
LOC124907358	2	ENSG00000288184	gnomAD-recognized or lowest Ensembl ID	ENSG00000288184; ENSG00000288249
LOC128966594	2	ENSG00000234749	gnomAD-recognized or lowest Ensembl ID	ENSG00000234749; ENSG00000281150
LOC128966597	2	ENSG00000282304	gnomAD-recognized or lowest Ensembl ID	ENSG00000282304; ENSG00000293619
LOC128966610	2	ENSG00000175711	MANE Select canonical	ENSG00000175711; ENSG00000277033
LOC128966722	34			ENSG00000273688; ENSG00000273880; ENSG00000274163; ENSG00000274498; ENSG00000274610; ENSG00000275255; ENSG00000275593; ENSG00000275751; ENSG00000275887; ENSG00000276035; ENSG00000276041; ENSG00000276212; ENSG00000276518; ENSG00000276912; ENSG00000277176; ENSG00000277477; ENSG00000277560; ENSG00000277742; ENSG00000277835; ENSG00000278051; ENSG00000278157; ENSG00000278691; ENSG00000278786; ENSG00000283713; ENSG00000283919; ENSG00000283968; ENSG00000283974; ENSG00000284006; ENSG00000284007; ENSG00000284102; ENSG00000284105; ENSG00000284119; ENSG00000284397; ENSG00000284417
LOC128966730	36	ENSG00000273688	gnomAD-recognized or lowest Ensembl ID	ENSG00000273688; ENSG00000273880; ENSG00000274163; ENSG00000274498; ENSG00000274610; ENSG00000275255; ENSG00000275593; ENSG00000275751; ENSG00000275887; ENSG00000276035; ENSG00000276041; ENSG00000276212; ENSG00000276518; ENSG00000276912; ENSG00000277176; ENSG00000277477; ENSG00000277560; ENSG00000277742; ENSG00000277835; ENSG00000278051; ENSG00000278157; ENSG00000278277; ENSG00000278691; ENSG00000278786; ENSG00000283713; ENSG00000283919; ENSG00000283968; ENSG00000283974; ENSG00000284006; ENSG00000284007; ENSG00000284102; ENSG00000284105; ENSG00000284119; ENSG00000284397; ENSG00000284417; ENSG00000290528
LOC128966731	34			ENSG00000273688; ENSG00000273880; ENSG00000274163; ENSG00000274498; ENSG00000274610; ENSG00000275255; ENSG00000275593; ENSG00000275751; ENSG00000275887; ENSG00000276035; ENSG00000276041; ENSG00000276212; ENSG00000276518; ENSG00000276912; ENSG00000277176; ENSG00000277477; ENSG00000277560; ENSG00000277742; ENSG00000277835; ENSG00000278051; ENSG00000278157; ENSG00000278691; ENSG00000278786; ENSG00000283713; ENSG00000283919; ENSG00000283968; ENSG00000283974; ENSG00000284006; ENSG00000284007; ENSG00000284102; ENSG00000284105; ENSG00000284119; ENSG00000284397; ENSG00000284417
LOC128966732	36	ENSG00000278345	gnomAD-recognized or lowest Ensembl ID	ENSG00000273688; ENSG00000273880; ENSG00000274163; ENSG00000274498; ENSG00000274610; ENSG00000275255; ENSG00000275593; ENSG00000275751; ENSG00000275887; ENSG00000276035; ENSG00000276041; ENSG00000276212; ENSG00000276518; ENSG00000276912; ENSG00000277176; ENSG00000277477; ENSG00000277560; ENSG00000277742; ENSG00000277835; ENSG00000278051; ENSG00000278157; ENSG00000278277; ENSG00000278345; ENSG00000278691; ENSG00000278786; ENSG00000283713; ENSG00000283919; ENSG00000283968; ENSG00000283974; ENSG00000284006; ENSG00000284007; ENSG00000284102; ENSG00000284105; ENSG00000284119; ENSG00000284397; ENSG00000284417
LOC128966733	34			ENSG00000273688; ENSG00000273880; ENSG00000274163; ENSG00000274498; ENSG00000274610; ENSG00000275255; ENSG00000275593; ENSG00000275751; ENSG00000275887; ENSG00000276035; ENSG00000276041; ENSG00000276212; ENSG00000276518; ENSG00000276912; ENSG00000277176; ENSG00000277477; ENSG00000277560; ENSG00000277742; ENSG00000277835; ENSG00000278051; ENSG00000278157; ENSG00000278691; ENSG00000278786; ENSG00000283713; ENSG00000283919; ENSG00000283968; ENSG00000283974; ENSG00000284006; ENSG00000284007; ENSG00000284102; ENSG00000284105; ENSG00000284119; ENSG00000284397; ENSG00000284417
LONRF1	2	ENSG00000154359	MANE Select canonical	ENSG00000154359; ENSG00000285360
LPCAT1	2	ENSG00000153395	MANE Select canonical	ENSG00000153395; ENSG00000275079
LPCAT4	2	ENSG00000176454	MANE Select canonical	ENSG00000176454; ENSG00000291994
LRFN1	2	ENSG00000128011	MANE Select canonical	ENSG00000128011; ENSG00000291874
LRP6	2	ENSG00000070018	MANE Select canonical	ENSG00000070018; ENSG00000281324
LRRC37A	2	ENSG00000176681	MANE Select canonical	ENSG00000176681; ENSG00000278742
LRRC37A2	6	ENSG00000238083	MANE Select canonical	ENSG00000238083; ENSG00000260075; ENSG00000274332; ENSG00000277221; ENSG00000280810; ENSG00000282733
LRRC37A3	2	ENSG00000176809	MANE Select canonical	ENSG00000176809; ENSG00000275621
LRRC56	2	ENSG00000161328	MANE Select canonical	ENSG00000161328; ENSG00000273831
LRTM2	2	ENSG00000166159	MANE Select canonical	ENSG00000166159; ENSG00000285383
LSM14A	2	ENSG00000257103	MANE Select canonical	ENSG00000257103; ENSG00000262860
LSM2	6	ENSG00000204392	MANE Select canonical	ENSG00000172850; ENSG00000204392; ENSG00000224979; ENSG00000225998; ENSG00000231502; ENSG00000236826
LSP1	2	ENSG00000130592	MANE Select canonical	ENSG00000130592; ENSG00000288199
LSS	2	ENSG00000160285	MANE Select canonical	ENSG00000160285; ENSG00000281289
LST1	8	ENSG00000204482	MANE Select canonical	ENSG00000204482; ENSG00000206433; ENSG00000223465; ENSG00000226182; ENSG00000230791; ENSG00000231048; ENSG00000234514; ENSG00000235915
LTA	7	ENSG00000226979	MANE Select canonical	ENSG00000173503; ENSG00000223919; ENSG00000226275; ENSG00000226979; ENSG00000230279; ENSG00000231408; ENSG00000238130
LTB	8	ENSG00000227507	MANE Select canonical	ENSG00000204487; ENSG00000206437; ENSG00000223448; ENSG00000227507; ENSG00000231314; ENSG00000236237; ENSG00000236925; ENSG00000238114
LTB4R	2	ENSG00000213903	MANE Select canonical	ENSG00000213903; ENSG00000285456
LTB4R2	2	ENSG00000213906	MANE Select canonical	ENSG00000213906; ENSG00000285203
LTC4S	2	ENSG00000213316	MANE Select canonical	ENSG00000213316; ENSG00000283887
LTN1	2	ENSG00000198862	MANE Select canonical	ENSG00000198862; ENSG00000291534
LY6E	2	ENSG00000160932	MANE Select canonical	ENSG00000160932; ENSG00000278032
LY6G5B	7	ENSG00000240053	MANE Select canonical	ENSG00000239285; ENSG00000239497; ENSG00000240053; ENSG00000240433; ENSG00000241132; ENSG00000241713; ENSG00000244672
LY6G5C	7	ENSG00000204428	MANE Select canonical	ENSG00000111971; ENSG00000204428; ENSG00000206404; ENSG00000226404; ENSG00000228883; ENSG00000231325; ENSG00000237495
LY6G6C	7	ENSG00000204421	MANE Select canonical	ENSG00000204421; ENSG00000206398; ENSG00000228250; ENSG00000228859; ENSG00000235452; ENSG00000235925; ENSG00000236183
LY6G6D	7	ENSG00000244355	MANE Select canonical	ENSG00000206402; ENSG00000225993; ENSG00000226603; ENSG00000234443; ENSG00000235302; ENSG00000236902; ENSG00000244355
LY6G6F	7	ENSG00000204424	MANE Select canonical	ENSG00000204424; ENSG00000239741; ENSG00000240008; ENSG00000240957; ENSG00000241822; ENSG00000243003; ENSG00000243804
LY6G6F-LY6G6D	4	ENSG00000250641	gnomAD-recognized or lowest Ensembl ID	ENSG00000250641; ENSG00000258635; ENSG00000258880; ENSG00000259101
LY6H	2	ENSG00000176956	MANE Select canonical	ENSG00000176956; ENSG00000274488
LY6L	2	ENSG00000261667	MANE Select canonical	ENSG00000261667; ENSG00000282693
LYSET	2	ENSG00000153485	MANE Select canonical	ENSG00000153485; ENSG00000275947
LYZL6	2	ENSG00000275722	MANE Select canonical	ENSG00000275722; ENSG00000277042
MAGEA12	2	ENSG00000213401	MANE Select canonical	ENSG00000213401; ENSG00000292189
MAGEA2B	2	ENSG00000183305	MANE Select canonical	ENSG00000183305; ENSG00000292187
MAGEA3	2	ENSG00000221867	MANE Select canonical	ENSG00000221867; ENSG00000292186
MAGEA6	2	ENSG00000197172	MANE Select canonical	ENSG00000197172; ENSG00000292195
MAGEL2	2	ENSG00000254585	MANE Select canonical	ENSG00000254585; ENSG00000288188
MAGIX	2	ENSG00000269313	MANE Select canonical	ENSG00000269313; ENSG00000292218
MAMDC2	2	ENSG00000165072	MANE Select canonical	ENSG00000165072; ENSG00000278608
MAML1	2	ENSG00000161021	MANE Select canonical	ENSG00000161021; ENSG00000283780
MANBAL	2	ENSG00000101363	MANE Select canonical	ENSG00000101363; ENSG00000291969
MANSC1	2	ENSG00000111261	MANE Select canonical	ENSG00000111261; ENSG00000281818
MAP3K14	2	ENSG00000006062	MANE Select canonical	ENSG00000006062; ENSG00000282637
MAP3K7CL	2	ENSG00000156265	MANE Select canonical	ENSG00000156265; ENSG00000291525
MAPK15	2	ENSG00000181085	MANE Select canonical	ENSG00000181085; ENSG00000274205
MAPK4	2	ENSG00000141639	MANE Select canonical	ENSG00000141639; ENSG00000282110
MAPT	3	ENSG00000186868	MANE Select canonical	ENSG00000186868; ENSG00000276155; ENSG00000277956
MARCHF8	2	ENSG00000165406	MANE Select canonical	ENSG00000165406; ENSG00000278545
MARF1	2	ENSG00000166783	MANE Select canonical	ENSG00000166783; ENSG00000277140
MARVELD2	2	ENSG00000152939	MANE Select canonical	ENSG00000152939; ENSG00000274671
MAS1L	8	ENSG00000204687	MANE Select canonical	ENSG00000204687; ENSG00000206470; ENSG00000206515; ENSG00000228377; ENSG00000228515; ENSG00000233141; ENSG00000234954; ENSG00000237284
MASP1	2	ENSG00000127241	MANE Select canonical	ENSG00000127241; ENSG00000291559
MBD3L1	2	ENSG00000170948	MANE Select canonical	ENSG00000170948; ENSG00000291743
MBOAT7	10	ENSG00000125505	MANE Select canonical	ENSG00000125505; ENSG00000273592; ENSG00000274194; ENSG00000275118; ENSG00000276935; ENSG00000277025; ENSG00000277733; ENSG00000277923; ENSG00000278322; ENSG00000278519
MCCC2	3	ENSG00000131844	MANE Select canonical	ENSG00000131844; ENSG00000275300; ENSG00000281742
MCCD1	8	ENSG00000204511	MANE Select canonical	ENSG00000204511; ENSG00000206447; ENSG00000225228; ENSG00000226841; ENSG00000226923; ENSG00000228662; ENSG00000231975; ENSG00000238238
MCRIP1	2	ENSG00000225663	MANE Select canonical	ENSG00000225663; ENSG00000288213
MDC1	8	ENSG00000137337	MANE Select canonical	ENSG00000137337; ENSG00000206481; ENSG00000224587; ENSG00000225589; ENSG00000228575; ENSG00000231135; ENSG00000234012; ENSG00000237095
MDP1	2	ENSG00000213920	MANE Select canonical	ENSG00000213920; ENSG00000285200
MED10	2	ENSG00000133398	MANE Select canonical	ENSG00000133398; ENSG00000291745
MED16	2	ENSG00000175221	MANE Select canonical	ENSG00000175221; ENSG00000282092
MED18	2	ENSG00000130772	MANE Select canonical	ENSG00000130772; ENSG00000284944
MED22	2	ENSG00000148297	MANE Select canonical	ENSG00000148297; ENSG00000281022
MEF2D	2	ENSG00000116604	MANE Select canonical	ENSG00000116604; ENSG00000291761
MEGF11	2	ENSG00000157890	MANE Select canonical	ENSG00000157890; ENSG00000277848
MEIOB	2	ENSG00000162039	MANE Select canonical	ENSG00000162039; ENSG00000282650
MEPCE	2	ENSG00000146834	MANE Select canonical	ENSG00000146834; ENSG00000289690
METAP1D	2	ENSG00000172878	MANE Select canonical	ENSG00000172878; ENSG00000292097
METRNL	2	ENSG00000176845	MANE Select canonical	ENSG00000176845; ENSG00000275031
METTL9	2	ENSG00000197006	MANE Select canonical	ENSG00000197006; ENSG00000284548
MFHAS1	2	ENSG00000147324	MANE Select canonical	ENSG00000147324; ENSG00000285022
MGAM	2	ENSG00000257335	MANE Select canonical	ENSG00000257335; ENSG00000282607
MGAM2	2	ENSG00000257743	MANE Select canonical	ENSG00000257743; ENSG00000278563
MGAT4B	2	ENSG00000161013	MANE Select canonical	ENSG00000161013; ENSG00000284501
MICA	5	ENSG00000204520	MANE Select canonical	ENSG00000183214; ENSG00000204520; ENSG00000231225; ENSG00000233051; ENSG00000235233
MICB	8	ENSG00000204516	MANE Select canonical	ENSG00000204516; ENSG00000206449; ENSG00000224378; ENSG00000227772; ENSG00000231179; ENSG00000231372; ENSG00000234218; ENSG00000238289
MIEF2	2	ENSG00000177427	MANE Select canonical	ENSG00000177427; ENSG00000284495
MIF	2	ENSG00000240972	MANE Select canonical	ENSG00000240972; ENSG00000276701
MISP3	2	ENSG00000141854	MANE Select canonical	ENSG00000141854; ENSG00000288191
MLLT6	2	ENSG00000275023	MANE Select canonical	ENSG00000275023; ENSG00000275851
MLXIP	2	ENSG00000175727	MANE Select canonical	ENSG00000175727; ENSG00000281178
MMEL1	2	ENSG00000142606	MANE Select canonical	ENSG00000142606; ENSG00000277131
MMP11	2	ENSG00000099953	MANE Select canonical	ENSG00000099953; ENSG00000275365
MMP28	2	ENSG00000271447	MANE Select canonical	ENSG00000271447; ENSG00000278843
MOAP1	2	ENSG00000165943	MANE Select canonical	ENSG00000165943; ENSG00000278268
MOB2	2	ENSG00000182208	MANE Select canonical	ENSG00000182208; ENSG00000291442
MOG	8	ENSG00000204655	MANE Select canonical	ENSG00000137345; ENSG00000204655; ENSG00000230885; ENSG00000232641; ENSG00000234096; ENSG00000234623; ENSG00000236561; ENSG00000237834
MOSMO	2	ENSG00000185716	MANE Select canonical	ENSG00000185716; ENSG00000284487
MPIG6B	7	ENSG00000204420	MANE Select canonical	ENSG00000204420; ENSG00000206396; ENSG00000224393; ENSG00000228090; ENSG00000230060; ENSG00000231003; ENSG00000237459
MPV17L	2	ENSG00000156968	MANE Select canonical	ENSG00000156968; ENSG00000275543
MRM1	2	ENSG00000278619	MANE Select canonical	ENSG00000274853; ENSG00000278619
MRNIP	2	ENSG00000161010	MANE Select canonical	ENSG00000161010; ENSG00000283918
MROH5	3	ENSG00000291473	MANE Select canonical	ENSG00000226807; ENSG00000282181; ENSG00000291473
MROH6	2	ENSG00000204839	MANE Select canonical	ENSG00000204839; ENSG00000277781
MROH8	2	ENSG00000292233	MANE Select canonical	ENSG00000101353; ENSG00000292233
MRPL23	2	ENSG00000214026	MANE Select canonical	ENSG00000214026; ENSG00000288141
MRPL45	2	ENSG00000278845	MANE Select canonical	ENSG00000277936; ENSG00000278845
MRPS12	2	ENSG00000128626	MANE Select canonical	ENSG00000128626; ENSG00000283018
MRPS18B	7	ENSG00000204568	MANE Select canonical	ENSG00000203624; ENSG00000204568; ENSG00000223775; ENSG00000226111; ENSG00000227420; ENSG00000229861; ENSG00000233813
MS4A3	2	ENSG00000149516	MANE Select canonical	ENSG00000149516; ENSG00000284903
MSH5	8	ENSG00000204410	MANE Select canonical	ENSG00000204410; ENSG00000227314; ENSG00000230293; ENSG00000230961; ENSG00000233345; ENSG00000235222; ENSG00000235569; ENSG00000237333
MSRA	2	ENSG00000175806	MANE Select canonical	ENSG00000175806; ENSG00000285250
MSRB1	2	ENSG00000198736	MANE Select canonical	ENSG00000198736; ENSG00000291928
MTCH2	2	ENSG00000109919	MANE Select canonical	ENSG00000109919; ENSG00000285121
MTMR10	2	ENSG00000166912	MANE Select canonical	ENSG00000166912; ENSG00000277086
MTMR9	2	ENSG00000104643	MANE Select canonical	ENSG00000104643; ENSG00000285032
MUC16	2	ENSG00000291738	MANE Select canonical	ENSG00000181143; ENSG00000291738
MUC2	3	ENSG00000293532	MANE Select canonical	ENSG00000198788; ENSG00000278466; ENSG00000293532
MUC20	8	ENSG00000176945	MANE Select canonical	ENSG00000176945; ENSG00000274843; ENSG00000275430; ENSG00000275501; ENSG00000276583; ENSG00000277753; ENSG00000278114; ENSG00000281630
MUC21	7	ENSG00000204544	MANE Select canonical	ENSG00000204544; ENSG00000206463; ENSG00000223590; ENSG00000227506; ENSG00000231350; ENSG00000234137; ENSG00000237962
MUC22	8	ENSG00000261272	MANE Select canonical	ENSG00000227132; ENSG00000229126; ENSG00000229199; ENSG00000231474; ENSG00000234063; ENSG00000234461; ENSG00000237108; ENSG00000261272
MUC4	8	ENSG00000145113	MANE Select canonical	ENSG00000145113; ENSG00000273822; ENSG00000273984; ENSG00000275164; ENSG00000276613; ENSG00000277585; ENSG00000278303; ENSG00000278468
MUC5AC	2	ENSG00000215182	MANE Select canonical	ENSG00000215182; ENSG00000291363
MUC6	3	ENSG00000184956	MANE Select canonical	ENSG00000184956; ENSG00000277281; ENSG00000277518
MUCL3	5	ENSG00000168631	MANE Select canonical	ENSG00000168631; ENSG00000229284; ENSG00000232251; ENSG00000232308; ENSG00000257232
MYG1	2	ENSG00000139637	MANE Select canonical	ENSG00000139637; ENSG00000291835
MYH11	2	ENSG00000133392	MANE Select canonical	ENSG00000133392; ENSG00000276480
MYO19	2	ENSG00000278259	MANE Select canonical	ENSG00000278259; ENSG00000278372
MYOM2	2	ENSG00000036448	MANE Select canonical	ENSG00000036448; ENSG00000274137
MYT1	2	ENSG00000196132	MANE Select canonical	ENSG00000196132; ENSG00000276876
MZT2B	2	ENSG00000152082	MANE Select canonical	ENSG00000152082; ENSG00000292119
NAALAD2	2	ENSG00000077616	MANE Select canonical	ENSG00000077616; ENSG00000285516
NAIP	3	ENSG00000249437	MANE Select canonical	ENSG00000249437; ENSG00000276068; ENSG00000278613
NANOS3	2	ENSG00000187556	MANE Select canonical	ENSG00000187556; ENSG00000288505
NAP1L4	2	ENSG00000205531	MANE Select canonical	ENSG00000205531; ENSG00000273562
NAPEPLD	2	ENSG00000161048	MANE Select canonical	ENSG00000161048; ENSG00000275723
NAPRT	2	ENSG00000147813	MANE Select canonical	ENSG00000147813; ENSG00000278488
NAT8	2	ENSG00000144035	MANE Select canonical	ENSG00000144035; ENSG00000291479
NBPF1	2	ENSG00000292225	MANE Select canonical	ENSG00000219481; ENSG00000292225
NBPF26	2	ENSG00000273136	gnomAD-recognized or lowest Ensembl ID	ENSG00000273136; ENSG00000291975
NBPF4	2	ENSG00000196427	MANE Select canonical	ENSG00000196427; ENSG00000292447
NBPF6	2	ENSG00000186086	MANE Select canonical	ENSG00000186086; ENSG00000292440
NCF4	2	ENSG00000100365	MANE Select canonical	ENSG00000100365; ENSG00000275990
NCR1	16	ENSG00000189430	MANE Select canonical	ENSG00000189430; ENSG00000273506; ENSG00000273535; ENSG00000273916; ENSG00000274053; ENSG00000275156; ENSG00000275521; ENSG00000275637; ENSG00000275822; ENSG00000276450; ENSG00000277334; ENSG00000277442; ENSG00000277629; ENSG00000277824; ENSG00000278025; ENSG00000278362
NCR3	8	ENSG00000204475	MANE Select canonical	ENSG00000204475; ENSG00000206430; ENSG00000223833; ENSG00000225211; ENSG00000236315; ENSG00000236979; ENSG00000237103; ENSG00000237808
NDE1	2	ENSG00000072864	MANE Select canonical	ENSG00000072864; ENSG00000275911
NDN	2	ENSG00000182636	MANE Select canonical	ENSG00000182636; ENSG00000288364
NDUFA11	2	ENSG00000174886	MANE Select canonical	ENSG00000174886; ENSG00000292058
NDUFA3	10	ENSG00000170906	MANE Select canonical	ENSG00000170906; ENSG00000273642; ENSG00000274359; ENSG00000275605; ENSG00000275724; ENSG00000276061; ENSG00000276220; ENSG00000276766; ENSG00000277722; ENSG00000278365
NDUFA6	5	ENSG00000184983	MANE Select canonical	ENSG00000184983; ENSG00000272765; ENSG00000273397; ENSG00000277365; ENSG00000281013
NDUFB10	2	ENSG00000140990	MANE Select canonical	ENSG00000140990; ENSG00000291930
NDUFS1	2	ENSG00000023228	MANE Select canonical	ENSG00000023228; ENSG00000283447
NECAP2	2	ENSG00000157191	MANE Select canonical	ENSG00000157191; ENSG00000291380
NEDD8	2	ENSG00000129559	MANE Select canonical	ENSG00000129559; ENSG00000285246
NEDD8-MDP1	2	ENSG00000255526	gnomAD-recognized or lowest Ensembl ID	ENSG00000255526; ENSG00000285425
