gene_id,gene_symbol,evidence_count,composite_null_preserve,composite_zero_impute,composite_median_impute,pctile_null_preserve,pctile_zero_impute,pctile_median_impute,rank_denominator_null_preserve,rank_denominator_zero_impute,rank_denominator_median_impute
ENSG00000285329,ENSG00000285329,1,0.8287477500642838,0.16574955001285677,0.4598335209659088,100.0,9.919824709924804,72.31711568148997,20053,20081,20081
ENSG00000267127,ENSG00000267127,1,0.815203518572139,0.1630407037144278,0.45712467466747975,99.9950132149803,9.576216323888252,71.51536278073802,20053,20081,20081
ENSG00000272162,ENSG00000272162,1,0.8127539213165338,0.16255078426330677,0.45663475521635877,99.9900264299606,9.496539016981226,71.41078631542254,20053,20081,20081
ENSG00000197102,DYNC1H1,6,0.8001006622676565,0.8001006622676565,0.8001006622676565,99.98503964494091,100.0,100.0,20053,20081,20081
ENSG00000112715,VEGFA,5,0.7983100360862341,0.678563530673299,0.678563530673299,99.98005285992122,99.70618993078034,99.70121009909865,20053,20081,20081
ENSG00000162738,VANGL2,5,0.7941293435691751,0.6750099420337989,0.6750099420337989,99.9750660749015,99.6812907723719,99.6763109406902,20053,20081,20081
ENSG00000144635,DYNC1LI1,6,0.789853792313813,0.789853792313813,0.789853792313813,99.97007928988181,99.99502016831832,99.99502016831832,20053,20081,20081
ENSG00000163399,ATP1A1,5,0.7888154800085517,0.670493158007269,0.670493158007269,99.96509250486211,99.65141178228177,99.64643195060006,20053,20081,20081
ENSG00000255872,ENSG00000255872,1,0.7857032656209822,0.15714065312419645,0.4512246240772484,99.96010571984242,8.908918878541904,70.04631243463972,20053,20081,20081
ENSG00000143153,ATP1B1,5,0.7854537542429113,0.6676356911064747,0.6676356911064747,99.95511893482272,99.62153279219163,99.61655296050994,20053,20081,20081
ENSG00000157087,ATP2B2,5,0.7853357576820704,0.6675353940297599,0.6675353940297599,99.95013214980301,99.61655296050994,99.61157312882824,20053,20081,20081
ENSG00000241962,ENSG00000241962,1,0.782672065687973,0.1565344131375946,0.4506183840906466,99.94514536478331,8.844181066679946,69.87699815746228,20053,20081,20081
ENSG00000008710,PKD1,5,0.7775220877897149,0.6608937746212578,0.6608937746212578,99.94015857976363,99.52691599023953,99.52193615855785,20053,20081,20081
ENSG00000162992,NEUROD1,5,0.7691715871980783,0.6537958491183666,0.6537958491183666,99.93517179474392,99.4422588516508,99.43727901996913,20053,20081,20081
ENSG00000135541,AHI1,6,0.7671912465586458,0.7671912465586458,0.7671912465586458,99.93018500972423,99.99004033663662,99.99004033663662,20053,20081,20081
ENSG00000164588,HCN1,5,0.7619077084219393,0.6476215521586485,0.6476215521586485,99.92519822470453,99.3078033962452,99.30282356456351,20053,20081,20081
ENSG00000007168,PAFAH1B1,6,0.7564808774811982,0.7564808774811982,0.7564808774811982,99.92021143968483,99.98506050495493,99.98506050495493,20053,20081,20081
ENSG00000106976,DNM1,5,0.7562107963082174,0.6427791768619848,0.6427791768619848,99.91522465466514,99.2231462576565,99.2181664259748,20053,20081,20081
ENSG00000136811,ODF2,6,0.7535527938188196,0.7535527938188196,0.7535527938188196,99.91023786964544,99.98008067327324,99.98008067327324,20053,20081,20081
ENSG00000204677,FAM153CP,1,0.7529434794949976,0.15058869589899954,0.44467266685205153,99.90525108462573,8.386036551964542,68.40296797968229,20053,20081,20081
ENSG00000105409,ATP1A3,5,0.7525429539356918,0.6396615108453381,0.6396615108453381,99.90026429960605,99.17334794083959,99.16836810915791,20053,20081,20081
ENSG00000107643,MAPK8,5,0.7483355509148517,0.636085218277624,0.636085218277624,99.89527751458634,99.10363029729595,99.09367063393258,20053,20081,20081
ENSG00000150753,CCT5,5,0.7475621808251116,0.6354278537013449,0.6354278537013449,99.89029072956664,99.09367063393258,99.0837109705692,20053,20081,20081
ENSG00000176697,BDNF,5,0.7471539894501643,0.6350808910326398,0.6350808910326398,99.88530394454695,99.0787311388875,99.06877147552413,20053,20081,20081
ENSG00000029534,ANK1,5,0.7446144766511444,0.6329223051534728,0.6329223051534728,99.88031715952725,99.02893282207062,99.01897315870724,20053,20081,20081
ENSG00000049759,NEDD4L,5,0.7439019768989713,0.6323166803641257,0.6323166803641257,99.87533037450756,99.01897315870724,99.00901349534385,20053,20081,20081
ENSG00000140350,ANP32A,6,0.7434782352813433,0.7434782352813433,0.7434782352813433,99.87034358948786,99.97510084159155,99.97510084159155,20053,20081,20081
ENSG00000087258,GNAO1,5,0.7434091941722586,0.6318978150464198,0.6318978150464198,99.86535680446815,99.00901349534385,98.99905383198048,20053,20081,20081
ENSG00000220205,VAMP2,5,0.7429917292522303,0.6315429698643958,0.6315429698643958,99.86037001944847,98.99905383198048,98.9890941686171,20053,20081,20081
ENSG00000084764,MAPRE3,5,0.7415001670176328,0.6302751419649879,0.6302751419649879,99.85538323442876,98.92435635675514,98.91439669339177,20053,20081,20081
ENSG00000001617,SEMA3F,5,0.741347973266881,0.6301457772768488,0.6301457772768488,99.85039644940906,98.91937652507346,98.90941686171007,20053,20081,20081
ENSG00000124140,SLC12A5,5,0.7412696703821318,0.6300792198248121,0.6300792198248121,99.84540966438936,98.91439669339177,98.90443703002838,20053,20081,20081
ENSG00000145335,SNCA,5,0.7403883934527391,0.6293301344348283,0.6293301344348283,99.84042287936967,98.88451770330164,98.87455803993825,20053,20081,20081
ENSG00000122756,CNTFR,5,0.7383447247474924,0.6275930160353685,0.6275930160353685,99.83543609434997,98.8546387132115,98.84467904984811,20053,20081,20081
ENSG00000089009,RPL6,5,0.7347634244653948,0.6245489107955856,0.6245489107955856,99.83044930933028,98.7650017429411,98.75504207957772,20053,20081,20081
ENSG00000183207,RUVBL2,6,0.734642372039726,0.734642372039726,0.734642372039726,99.82546252431057,99.97012100990986,99.97012100990986,20053,20081,20081
ENSG00000072832,CRMP1,6,0.733632455120873,0.733632455120873,0.733632455120873,99.82047573929088,99.96514117822818,99.96514117822818,20053,20081,20081
ENSG00000120438,TCP1,5,0.732727936460385,0.6228187459913274,0.6228187459913274,99.81548895427117,98.71022359444251,98.70026393107914,20053,20081,20081
ENSG00000144290,SLC4A10,5,0.732148037989984,0.6223258322914864,0.6223258322914864,99.81050216925148,98.70026393107914,98.69030426771576,20053,20081,20081
ENSG00000110076,NRXN2,5,0.7307196576408583,0.6211117089947297,0.6211117089947297,99.80551538423178,98.6654051093073,98.65544544594393,20053,20081,20081
ENSG00000140443,IGF1R,5,0.7288580147303046,0.619529312520759,0.619529312520759,99.80052859921209,98.6255664558538,98.61560679249041,20053,20081,20081
ENSG00000164690,SHH,5,0.7280958701268891,0.6188814896078558,0.6188814896078558,99.79554181419239,98.61062696080872,98.60066729744534,20053,20081,20081
ENSG00000174437,ATP2A2,5,0.7278192816392923,0.6186463893933986,0.6186463893933986,99.7905550291727,98.59568746576366,98.58572780240029,20053,20081,20081
ENSG00000138175,ARL3,6,0.7270969883382541,0.7270969883382541,0.7270969883382541,99.78556824415298,99.96016134654649,99.96016134654649,20053,20081,20081
ENSG00000074054,CLASP1,5,0.7259530746596546,0.6170601134607065,0.6170601134607065,99.7805814591333,98.5757681390369,98.56580847567352,20053,20081,20081
ENSG00000175203,DCTN2,6,0.7254109980336199,0.7254109980336199,0.7254109980336199,99.7755946741136,99.9551815148648,99.9551815148648,20053,20081,20081
ENSG00000163914,RHO,5,0.7245307006368011,0.615851095541281,0.615851095541281,99.7706078890939,98.54090931726508,98.5309496539017,20053,20081,20081
ENSG00000115414,FN1,5,0.7236039963570987,0.615063396903534,0.615063396903534,99.7656211040742,98.49609083212988,98.4861311687665,20053,20081,20081
ENSG00000177807,KCNJ10,5,0.7232995025201138,0.6148045771420968,0.6148045771420968,99.7606343190545,98.48115133708481,98.47119167372142,20053,20081,20081
ENSG00000132535,DLG4,5,0.7223953554761178,0.6140360521547001,0.6140360521547001,99.75564753403481,98.43135302026792,98.42139335690455,20053,20081,20081
ENSG00000130477,UNC13A,5,0.721858381945915,0.6135796246540278,0.6135796246540278,99.75066074901511,98.40147403017778,98.3915143668144,20053,20081,20081
ENSG00000075624,ACTB,5,0.721243436025038,0.6130569206212824,0.6130569206212824,99.7456739639954,98.38155470345103,98.37159504008764,20053,20081,20081
ENSG00000152661,GJA1,6,0.7211374559757282,0.7211374559757282,0.7211374559757282,99.74068717897572,99.95020168318311,99.95020168318311,20053,20081,20081
ENSG00000137822,TUBGCP4,6,0.7206652444965892,0.7206652444965892,0.7206652444965892,99.73570039395602,99.94522185150142,99.94522185150142,20053,20081,20081
ENSG00000137693,YAP1,6,0.7202077085301319,0.7202077085301319,0.7202077085301319,99.73071360893631,99.94024201981972,99.94024201981972,20053,20081,20081
ENSG00000068796,KIF2A,6,0.7184594922598494,0.7184594922598494,0.7184594922598494,99.72572682391662,99.93526218813804,99.93526218813804,20053,20081,20081
ENSG00000150275,PCDH15,5,0.7179602769063059,0.6102662353703601,0.6102662353703601,99.72074003889692,98.32677655495245,98.31681689158907,20053,20081,20081
ENSG00000094631,HDAC6,5,0.7173617665807616,0.5738894132646093,0.6836392856484786,99.71575325387722,95.54305064488821,99.74602858423384,20053,20081,20081
