gene_id,gene_symbol,animal_model_score,composite_score,quality_flag
ENSG00000005007,UPF1,0.09518097534935761,0.636535457475165,sufficient_evidence
ENSG00000005020,SKAP2,0.0,0.3498505029935617,sufficient_evidence
ENSG00000005022,SLC25A5,0.04759048767467881,0.5548943170491701,sufficient_evidence
ENSG00000005059,MCUB,0.05344135592665252,0.29623353875620534,sufficient_evidence
ENSG00000005073,HOXA11,0.0,0.3632624643717489,sufficient_evidence
ENSG00000005075,POLR2J,0.0,0.317563429695777,sufficient_evidence
ENSG00000005100,DHX33,0.0754291383553983,0.5171409489397938,sufficient_evidence
ENSG00000005102,MEOX1,0.09518097534935761,0.36361621243008635,sufficient_evidence
ENSG00000005108,THSD7A,0.3683389679374249,0.6405956356309745,sufficient_evidence
ENSG00000005156,LIG3,0.0,0.48716052255492415,sufficient_evidence
ENSG00000005175,RPAP3,0.0,0.41563989516050076,sufficient_evidence
ENSG00000005187,ACSM3,0.0,0.47174105674752226,sufficient_evidence
ENSG00000005189,REXO5,0.0,0.41806874829612073,sufficient_evidence
ENSG00000005194,CIAPIN1,0.0,0.4904519233352288,sufficient_evidence
ENSG00000005206,SPPL2B,0.22208894248183444,0.5334966974238382,sufficient_evidence
ENSG00000005238,ATOSB,0.0,0.38848693559910624,sufficient_evidence
ENSG00000005243,COPZ2,0.0,0.4552060712665185,sufficient_evidence
ENSG00000005249,PRKAR2B,0.0,0.5113983683960649,sufficient_evidence
ENSG00000005302,MSL3,0.0,0.34462674382047753,sufficient_evidence
ENSG00000005339,CREBBP,0.0,0.5937907709406707,sufficient_evidence
ENSG00000005379,TSPOAP1,0.0,0.5495837291359709,sufficient_evidence
ENSG00000005381,MPO,0.0,0.43073945886708626,sufficient_evidence
ENSG00000005421,PON1,0.0,0.48808869890147966,sufficient_evidence
ENSG00000005436,GCFC2,0.0,0.2916697060466465,sufficient_evidence
ENSG00000005448,WDR54,0.0,0.33175446120466073,sufficient_evidence
ENSG00000005469,CROT,0.0,0.3906017622257744,sufficient_evidence
ENSG00000005471,ABCB4,0.0,0.496552380789656,sufficient_evidence
ENSG00000005483,KMT2E,0.1533725813226432,0.5607150351182946,sufficient_evidence
ENSG00000005486,RHBDD2,0.0,0.5256168687613638,sufficient_evidence
ENSG00000005513,SOX8,0.1760013228292627,0.4369379494445372,sufficient_evidence
ENSG00000005700,IBTK,0.0,0.49772446812708593,sufficient_evidence
ENSG00000005801,ZNF195,0.0,0.4381181823711849,sufficient_evidence
ENSG00000005810,MYCBP2,0.3520026456585254,0.6114481809031486,sufficient_evidence
ENSG00000005812,FBXL3,0.22208894248183444,0.4632970579679264,sufficient_evidence
ENSG00000005844,ITGAL,0.0,0.5842082003327069,sufficient_evidence
ENSG00000005882,PDK2,0.06345398356623842,0.5861527894944929,sufficient_evidence
ENSG00000005884,ITGA3,0.0754291383553983,0.5229245790680722,sufficient_evidence
ENSG00000005889,ZFX,0.0,0.3019022457003659,sufficient_evidence
ENSG00000005893,LAMP2,0.08611373822105396,0.5271654558594281,sufficient_evidence
ENSG00000005961,ITGA2B,0.0,0.453661785658668,sufficient_evidence
ENSG00000005981,ASB4,0.0,0.3781269974381481,sufficient_evidence
ENSG00000006007,GDE1,0.0,0.4084769263064515,sufficient_evidence
ENSG00000006015,REX1BD,0.0,0.3428340061786256,sufficient_evidence
ENSG00000006016,CRLF1,0.0,0.5680582341961314,sufficient_evidence
ENSG00000006025,OSBPL7,0.033313341372275165,0.45678297184750416,sufficient_evidence
ENSG00000006042,TMEM98,0.06345398356623842,0.41596841186059774,sufficient_evidence
ENSG00000006047,YBX2,0.03807239013974305,0.538201304267232,sufficient_evidence
ENSG00000006059,KRT33A,0.0,0.3863389210163268,sufficient_evidence
ENSG00000006062,MAP3K14,0.06345398356623842,0.45776170982906006,sufficient_evidence
ENSG00000006071,ABCC8,0.0,0.5832307128699898,sufficient_evidence
ENSG00000006116,CACNG3,0.06345398356623842,0.67868597013369,sufficient_evidence
ENSG00000006118,TMEM132A,0.0,0.4313340905870381,sufficient_evidence
ENSG00000006125,AP2B1,0.0,0.6112034754618118,sufficient_evidence
ENSG00000006128,TAC1,0.0,0.5066680204660318,sufficient_evidence
ENSG00000006194,ZNF263,0.0,0.40546370129608056,sufficient_evidence
ENSG00000006210,CX3CL1,0.0,0.5365719180963329,sufficient_evidence
ENSG00000006282,SPATA20,0.0,0.39410636772912455,sufficient_evidence
ENSG00000006283,CACNA1G,0.0,0.654534436612619,sufficient_evidence
ENSG00000006327,TNFRSF12A,0.0,0.4400648398663765,sufficient_evidence
ENSG00000006377,DLX6,0.06345398356623842,0.4478876451012326,sufficient_evidence
ENSG00000006432,MAP3K9,0.06345398356623842,0.4952259435731255,sufficient_evidence
ENSG00000006451,RALA,0.1005721844738644,0.6275933945966965,sufficient_evidence
ENSG00000006453,BAIAP2L1,0.0,0.4643360756298577,sufficient_evidence
ENSG00000006459,KDM7A,0.0,0.43484847370758517,sufficient_evidence
ENSG00000006468,ETV1,0.0,0.5215022926146162,sufficient_evidence
ENSG00000006530,AGK,0.0,0.5281226550093294,sufficient_evidence
ENSG00000006534,ALDH3B1,0.0,0.3869783508119333,sufficient_evidence
ENSG00000006555,TTC22,0.0,0.3186621664508779,sufficient_evidence
ENSG00000006576,PHTF2,0.0,0.28912881755897707,sufficient_evidence
ENSG00000006606,CCL26,0.0,0.3810810680207543,sufficient_evidence
ENSG00000006607,FARP2,0.0,0.45834618824105866,sufficient_evidence
ENSG00000006611,USH1C,0.38415075488568917,0.542877004126697,sufficient_evidence
ENSG00000006625,GGCT,0.0,0.4776320383802814,sufficient_evidence
ENSG00000006634,DBF4,0.0,0.4427114282015962,sufficient_evidence
ENSG00000006638,TBXA2R,0.0,0.3474282796628634,sufficient_evidence
ENSG00000006652,IFRD1,0.0,0.38585156028032835,sufficient_evidence
ENSG00000006659,LGALS14,0.0,0.21490512827290265,sufficient_evidence
ENSG00000006695,COX10,0.0,0.4425593440291983,sufficient_evidence
ENSG00000006704,GTF2IRD1,0.311741242905473,0.5973691653203197,sufficient_evidence
ENSG00000006712,PAF1,0.0935223728716419,0.526310465532552,sufficient_evidence
ENSG00000006715,VPS41,0.04759048767467881,0.5815933394327645,sufficient_evidence
ENSG00000006740,ARHGAP44,0.06345398356623842,0.6960602626302346,sufficient_evidence
ENSG00000006744,ELAC2,0.0,0.47785709971814627,sufficient_evidence
ENSG00000006747,SCIN,0.06345398356623842,0.4262678741796768,sufficient_evidence
ENSG00000006756,ARSD,0.0,0.2914681502318418,sufficient_evidence
ENSG00000006757,PNPLA4,0.0,0.507717956761048,sufficient_evidence
ENSG00000006788,MYH13,0.0,0.4684117029060805,sufficient_evidence
ENSG00000006831,ADIPOR2,0.0,0.5715383188894129,sufficient_evidence
ENSG00000006837,CDKL3,0.03017165534215932,0.27449489167065116,sufficient_evidence
ENSG00000007001,UPP2,0.0,0.40566620491386507,sufficient_evidence
ENSG00000007038,PRSS21,0.0,0.24447577171205948,sufficient_evidence
ENSG00000007047,MARK4,0.06345398356623842,0.5907429812998759,sufficient_evidence
ENSG00000007062,PROM1,0.06345398356623842,0.6007146536686738,sufficient_evidence
ENSG00000007080,CCDC124,0.0,0.44081685626718786,sufficient_evidence
ENSG00000007129,CEACAM21,0.0,0.32141008178562464,sufficient_evidence
ENSG00000007168,PAFAH1B1,0.04759048767467881,0.7982927021481249,sufficient_evidence
ENSG00000007171,NOS2,0.06345398356623842,0.6203706111577515,sufficient_evidence
ENSG00000007174,DNAH9,0.0,0.571651035021264,sufficient_evidence
ENSG00000007202,BLTP2,0.06345398356623842,0.45310909951051237,sufficient_evidence
ENSG00000007216,SLC13A2,0.0,0.4201734900642887,sufficient_evidence
ENSG00000007237,GAS7,0.05280039684877881,0.6004598881196482,sufficient_evidence
ENSG00000007255,TRAPPC6A,0.06345398356623842,0.47038490111248615,sufficient_evidence
ENSG00000007264,MATK,0.0,0.4852643744722588,sufficient_evidence
ENSG00000007306,CEACAM7,0.0,0.33468932832708337,sufficient_evidence
ENSG00000007312,CD79B,0.0,0.45612352810531714,sufficient_evidence
ENSG00000007314,SCN4A,0.0,0.41399826350685454,sufficient_evidence
ENSG00000007341,ST7L,0.0,0.4010183152288206,sufficient_evidence
ENSG00000007350,TKTL1,0.0,0.27220186440560656,sufficient_evidence
ENSG00000007372,PAX6,0.39809026531109715,0.7109378360379639,sufficient_evidence
ENSG00000007376,RPUSD1,0.0,0.31884961774681414,sufficient_evidence
ENSG00000007384,RHBDF1,0.0,0.38655087468286137,sufficient_evidence
ENSG00000007392,LUC7L,0.06345398356623842,0.49248194106481136,sufficient_evidence
ENSG00000007402,CACNA2D2,0.1760013228292627,0.5182944077081778,sufficient_evidence
ENSG00000007516,BAIAP3,0.0,0.36645048228431987,sufficient_evidence
ENSG00000007520,TSR3,0.0,0.3628968064626527,sufficient_evidence
ENSG00000007541,PIGQ,0.3520026456585254,0.4134731651664105,sufficient_evidence
ENSG00000007545,CRAMP1,0.0,0.40616950363703996,sufficient_evidence
ENSG00000007866,TEAD3,0.0,0.5367003023913939,sufficient_evidence
ENSG00000007908,SELE,0.06345398356623842,0.5519586263675409,sufficient_evidence
ENSG00000007923,DNAJC11,0.0,0.5230047933902024,sufficient_evidence
ENSG00000007933,FMO3,0.06345398356623842,0.44828235381957504,sufficient_evidence
ENSG00000007944,MYLIP,0.0,0.450973351323792,sufficient_evidence
ENSG00000007952,NOX1,0.0,0.5206049394095636,sufficient_evidence
ENSG00000007968,E2F2,0.0,0.42803092617929017,sufficient_evidence
ENSG00000008018,PSMB1,0.09518097534935761,0.567969317992739,sufficient_evidence
ENSG00000008056,SYN1,0.0,0.6333267780776511,sufficient_evidence
ENSG00000008083,JARID2,0.06345398356623842,0.5502298181788978,sufficient_evidence
ENSG00000008086,CDKL5,0.06345398356623842,0.43840581334420786,sufficient_evidence
ENSG00000008118,CAMK1G,0.0,0.5224584846457914,sufficient_evidence
ENSG00000008128,CDK11A,0.0,0.4837627433217042,sufficient_evidence
ENSG00000008130,NADK,0.0,0.4792365988653009,sufficient_evidence
ENSG00000008196,TFAP2B,0.06345398356623842,0.583421138105549,sufficient_evidence
ENSG00000008197,TFAP2D,0.0,0.3898227764479863,sufficient_evidence
ENSG00000008226,DLEC1,0.06345398356623842,0.4024417528313049,sufficient_evidence
ENSG00000008256,CYTH3,0.0,0.511698594097721,sufficient_evidence
ENSG00000008277,ADAM22,0.0,0.5796446228038497,sufficient_evidence
ENSG00000008282,SYPL1,0.0,0.48357134412784236,sufficient_evidence
ENSG00000008283,CYB561,0.1760013228292627,0.4778229252870783,sufficient_evidence
ENSG00000008294,SPAG9,0.0,0.584726507431528,sufficient_evidence
ENSG00000008300,CELSR3,0.04759048767467881,0.6831300023519188,sufficient_evidence
ENSG00000008311,AASS,0.0,0.4090171273632432,sufficient_evidence
ENSG00000008323,PLEKHG6,0.0,0.5037510307733777,sufficient_evidence
ENSG00000008324,SS18L2,0.0,0.28930526691036623,sufficient_evidence
ENSG00000008382,MPND,0.04759048767467881,0.33482300390297054,sufficient_evidence
ENSG00000008394,MGST1,0.0,0.4301865605567262,sufficient_evidence
ENSG00000008405,CRY1,0.0,0.6201472768907709,sufficient_evidence
ENSG00000008438,PGLYRP1,0.0,0.3361488275118328,sufficient_evidence
ENSG00000008441,NFIX,0.1005721844738644,0.6073682109471346,sufficient_evidence
ENSG00000008513,ST3GAL1,0.0,0.518015799190307,sufficient_evidence
ENSG00000008516,MMP25,0.05280039684877881,0.3525850173474996,sufficient_evidence
ENSG00000008517,IL32,,0.3769812327581715,sufficient_evidence
ENSG00000008710,PKD1,0.12301962603007709,0.7841778362094525,sufficient_evidence
ENSG00000008735,MAPK8IP2,0.0,0.6015008176494057,sufficient_evidence
ENSG00000008838,MED24,0.04759048767467881,0.5639262355471946,sufficient_evidence
ENSG00000008853,RHOBTB2,0.0,0.3992795660657784,sufficient_evidence
ENSG00000008869,HEATR5B,0.0,0.4912686050056039,sufficient_evidence
ENSG00000008952,SEC62,0.0,0.5718395731610506,sufficient_evidence
ENSG00000008988,RPS20,0.19353464987702715,0.5845162624499984,sufficient_evidence
